scenario,seed,model,true_att,att,ci_lower,ci_upper,bias,covered
parallel,32,SC-DI,0.0691664725117159,1.2114176364882092,0.1250000000001296,2.3750000000001616,1.1422511639764932,0
parallel,32,SDID,0.0691664725117159,0.1376660770039075,-0.0123339229960945,0.2876660770039096,0.0684996044921916,1
parallel,33,DiD,0.0572518527358465,0.0530973644986159,-0.084402635501386,0.1905973644986178,-0.0041544882372306,1
parallel,33,SC-ADH,0.0572518527358465,0.03517473622423,-0.0749999999998731,0.15000000000013,-0.0220771165116164,1
parallel,33,SC-DI,0.0572518527358465,0.047844401319312,-0.3749999999998774,0.4750000000001346,-0.0094074514165345,1
parallel,33,SDID,0.0572518527358465,0.0319905745209787,-0.093009425479023,0.1569905745209805,-0.0252612782148678,1
parallel,34,DiD,0.0605225882829454,0.0664399470565757,-0.0960600529434265,0.228939947056578,0.0059173587736302,1
parallel,34,SC-ADH,0.0605225882829454,-0.0120894842272885,-0.1499999999998742,0.1250000000001296,-0.0726120725102339,1
parallel,34,SC-DI,0.0605225882829454,-0.1683433380472752,-0.699999999999882,0.4000000000001336,-0.2288659263302206,1
parallel,34,SDID,0.0605225882829454,0.0128229901987956,-0.1246770098012063,0.1503229901987975,-0.0476995980841498,1
parallel,35,DiD,0.1253539420513953,0.0874645487478251,-0.0500354512521767,0.2249645487478271,-0.0378893933035701,1
parallel,35,SC-ADH,0.1253539420513953,0.0569099208027426,-0.0749999999998731,0.1750000000001303,-0.0684440212486527,1
parallel,35,SC-DI,0.1253539420513953,0.8492246867922404,1.2789769243681806e-13,1.700000000000152,0.723870744740845,1
parallel,35,SDID,0.1253539420513953,0.1302623932790751,0.0302623932790737,0.2302623932790766,0.0049084512276798,1
parallel,36,DiD,0.0789400752859542,0.0598620320012684,-0.2151379679987354,0.3348620320012724,-0.0190780432846857,1
parallel,36,SC-ADH,0.0789400752859542,0.0029475330279471,-0.2499999999998756,0.2750000000001318,-0.075992542258007,1
parallel,36,SC-DI,0.0789400752859542,-0.1742999264616624,-0.8499999999998842,0.500000000000135,-0.2532400017476167,1
parallel,36,SDID,0.0789400752859542,0.0187943294400455,-0.2187056705599578,0.2562943294400489,-0.0601457458459086,1
parallel,37,DiD,0.1236251207621907,0.2189672167781746,0.0939672167781728,0.3439672167781764,0.0953420960159839,1
parallel,37,SC-ADH,0.1236251207621907,0.1641625685020342,0.1000000000001293,0.2500000000001314,0.0405374477398435,1
parallel,37,SC-DI,0.1236251207621907,0.7569396071018377,0.0750000000001289,1.4000000000001478,0.6333144863396469,1
parallel,37,SDID,0.1236251207621907,0.1889702958099701,0.1014702958099689,0.2764702958099714,0.0653451750477794,1
parallel,38,DiD,0.0785843281600564,0.1914633117761421,0.04146331177614,0.3414633117761443,0.1128789836160857,1
parallel,38,SC-ADH,0.0785843281600564,0.2047516913705993,0.15000000000013,0.2750000000001318,0.1261673632105428,0
parallel,38,SC-DI,0.0785843281600564,-0.2857412664460765,-1.0999999999998875,0.5500000000001357,-0.364325594606133,1
parallel,38,SDID,0.0785843281600564,0.1965257032206135,0.1215257032206125,0.2715257032206146,0.1179413750605571,0
parallel,39,DiD,0.0620698990549379,0.1075078949843709,-0.0049921050156306,0.2200078949843725,0.0454379959294329,1
parallel,39,SC-ADH,0.0620698990549379,0.0952703383164175,1.2789769243681806e-13,0.1750000000001303,0.0332004392614795,1
parallel,39,SC-DI,0.0620698990549379,0.7942085370541915,0.2250000000001311,1.425000000000148,0.7321386379992535,0
parallel,39,SDID,0.0620698990549379,0.0774489590103892,0.0024489590103882,0.1524489590103903,0.0153790599554513,1
parallel,40,DiD,0.1289073587667879,0.1818442973772072,-0.0306557026227958,0.3943442973772102,0.0529369386104192,1
parallel,40,SC-ADH,0.1289073587667879,0.1649089706229348,-0.0749999999998731,0.4250000000001339,0.0360016118561469,1
parallel,40,SC-DI,0.1289073587667879,-0.6094133638136335,-1.2749999999998902,0.0250000000001282,-0.7383207225804215,0
parallel,40,SDID,0.1289073587667879,0.2181825916274659,0.0806825916274639,0.3556825916274678,0.0892752328606779,1
parallel,41,DiD,0.1457140281422669,0.0908881766937332,-0.071611823306269,0.2533881766937356,-0.0548258514485336,1
parallel,41,SC-ADH,0.1457140281422669,0.152815248998781,1.2789769243681806e-13,0.3250000000001325,0.0071012208565141,1
parallel,41,SC-DI,0.1457140281422669,0.5016139741547923,-0.1749999999998746,1.2250000000001453,0.3558999460125254,1
parallel,41,SDID,0.1457140281422669,0.0995406093950659,-0.0254593906049358,0.2245406093950677,-0.0461734187472009,1
parallel,42,DiD,0.1325621865671027,0.2068652591605584,0.0693652591605564,0.3443652591605604,0.0743030725934557,1
parallel,42,SC-ADH,0.1325621865671027,0.1988813705318848,0.0750000000001289,0.3000000000001321,0.0663191839647821,1
